Source	Target	Label
/BD_120	/BD_119	a-circio
/BD_120	/R_8	a-orient
/BD_120	/BND_837	a-occident
/BD_120	/R_74	a-meridie
/BD_121	/R_74	in
/BD_121	/R_74	a-meridie
/BD_121	/BND_837	a-orient
/BD_121	/BND_837	a-circio
/BD_121	/BD_122	a-occident
/BD_122	/BD_121	a-orient
/BD_122	/BD_117	a-circio
/BD_122	/BD_123	a-occident
/BD_122	/R_74	a-meridie
/BD_122	/BD_446	a-meridie
/BD_122	/R_74	in
/BD_123	/R_96	a-meridie
/BD_123	/BD_445	a-orient
/BD_123	/BD_117	a-circio
/BD_123	/BD_124	a-occident
/BD_123	/BD_90	a-occident
/BD_124	/BD_123	a-orient
/BD_124	/BD_123	a-circio
/BD_124	/R_96	a-meridie
/BD_124	/BD_91	a-occident
/BD_124	/R_96	prope
/BD_125	/R_14	in
/BD_125	/R_14	a-orient
/BD_125	/BD_126	a-meridie
/BD_126	/BD_125	a-circio
/BD_126	/R_14	a-orient
/BD_126	/BD_103	a-meridie
/BD_126	/BND_838	a-occident
/BD_127	/R_12	in
/BD_127	/R_12	a-orient
/BD_127	/Mur_402	a-occident
/BD_127	/BND_839	a-circio
/BD_127	/BD_128	a-meridie
/BD_128	/R_12	in
/BD_128	/BD_127	a-circio
/BD_128	/R_12	a-orient
/BD_128	/BND_840	a-occident
/BD_128	/BD_129	a-meridie
/BD_128	/R_12	in
/BD_129	/BD_128	a-circio
/BD_129	/BD_131	a-circio
/BD_129	/BD_130	a-meridie
/BD_129	/RN_00125	a-meridie
/BD_129	/BND_841	a-occident
/BD_129	/BND_842	a-occident
/BD_129	/BD_131	a-orient
/BD_13	/BD_12	a-circio
/BD_13	/R_54	a-orient
/BD_13	/R_54	a-occident
/BD_13	/BD_14	a-meridie
/BD_130	/R_12	in
/BD_130	/BD_129	a-circio
/BD_130	/RN_00125	a-occident
/BD_130	/BD_131	a-orient
/BD_130	/BND_843	a-meridie
/BD_131	/R_12	in
/BD_2	/L_223	a-orient
/BD_131	/R_12	a-circio
/BD_131	/BD_132	a-orient
/BD_131	/BD_129	a-meridie
/BD_131	/BD_449	a-orient
/BD_131	/BD_130	a-occident
/BD_131	/BND_844	a-meridie
/BD_131	/BD_129	a-occident
/BD_132	/R_8	in
/BD_132	/R_8	a-orient
/BD_132	/BND_845	a-circio
/BD_132	/BD_449	a-circio
/BD_132	/BD_131	a-occident
/BD_132	/BND_846	a-meridie
/BD_133	/R_8	in
/BD_133	/R_8	a-occident
/BD_133	/BD_1143	a-circio
/BD_133	/BD_1144	a-orient
/BD_133	/BD_134	a-meridie
/BD_134	/R_8	in
/BD_134	/BD_133	a-circio
/BD_134	/R_8	a-occident
/BD_134	/BD_1144	a-orient
/BD_134	/BD_454	a-meridie
/BD_135	/R_112	prope
/BD_2	/L_223	a-meridie
/BD_135	/R_112	a-meridie
/BD_135	/BD_129	a-circio
/BD_135	/BND_847	a-occident
/BD_135	/BND_848	a-orient
/BD_136	/R_12	in
/BD_136	/R_12	a-meridie
/BD_136	/BD_101	a-occident
/BD_136	/BD_101	a-circio
/BD_136	/BD_137	a-orient
/BD_137	/R_12	in
/BD_137	/BD_136	a-occident
/BD_137	/R_12	a-meridie
/BD_137	/BD_448	a-circio
/BD_137	/BD_138	a-orient
/BD_138	/R_12	in
/BD_138	/BD_137	a-occident
/BD_138	/BD_448	a-circio
/BD_138	/R_12	a-meridie
/BD_138	/BD_139	a-orient
/BD_139	/R_12	in
/BD_139	/BD_138	a-occident
/BD_139	/R_12	a-meridie
/BD_139	/BD_448	a-circio
/BD_139	/BD_140	a-orient
/BD_14	/BD_13	a-circio
/BD_14	/R_54	a-occident
/BD_14	/E_154	a-orient
/BD_14	/BD_15	a-meridie
/BD_140	/R_12	in compito-sive-cantono
/BD_140	/BD_139	a-occident
/BD_140	/R_12	a-meridie
/BD_140	/R_8	a-orient
/BD_140	/BD_141	a-circio
/BD_141	/R_12	in
/BD_141	/BND_849	ante
/BD_141	/BD_140	a-meridie
/BD_141	/R_8	a-orient
/BD_141	/BD_139	a-occident
/BD_141	/BD_142	a-circio
/BD_142	/R_12	in
/BD_142	/BD_141	a-meridie
/BD_142	/R_8	a-orient
/BD_142	/BD_448	a-occident
/BD_142	/BD_143	a-circio
/BD_143	/R_12	in
/BD_143	/BD_142	a-meridie
/BD_143	/R_8	a-orient
/BD_143	/R_74	a-circio
/BD_143	/BD_144	a-occident
/BD_144	/BD_143	a-orient
/BD_144	/R_74	a-circio
/BD_144	/R_96	a-circio
/BD_144	/BD_92	a-occident
/BD_144	/BD_448	a-meridie
/BD_145	/R_8	in
/BD_145	/R_8	a-occident
/BD_145	/BD_158	a-orient
/BD_145	/BD_157	a-meridie
/BD_145	/BD_450	a-meridie
/BD_145	/BD_146	a-circio
/BD_146	/BD_145	a-meridie
/BD_146	/R_8	a-occident
/BD_146	/BND_851	a-circio
/BD_146	/BD_156	a-orient
/BD_147	/BD_148	a-occident
/BD_147	/R_74	ante
/BD_147	/BD_444	a-circio
/BD_147	/BD_151	a-orient
/BD_147	/BND_850	a-orient
/BD_147	/BND_851	a-meridie
/BD_148	/BD_147	a-orient
/BD_148	/RN_00132	a-meridie
/BD_148	/R_74	a-occident
/BD_148	/BD_449	a-circio
/BD_149	/R_10	in compito-sive-cantono
/BD_149	/R_10	a-circio
/BD_149	/R_10	a-orient
/BD_149	/BD_443	a-occident
/BD_149	/BD_150	a-meridie
/BD_149	/BD_151	a-meridie
/BD_15	/BD_14	a-circio
/BD_15	/R_54	a-occident
/BD_15	/E_154	a-orient
/BD_15	/BD_16	a-meridie
/BD_150	/R_10	in
/BD_150	/BD_149	a-circio
/BD_150	/BD_149	a-occident
/BD_150	/R_10	a-orient
/BD_150	/BD_151	a-meridie
/BD_151	/R_10	in
/BD_151	/BD_150	a-circio
/BD_151	/R_10	a-orient
/BD_151	/BD_444	a-occident
/BD_151	/BD_152	a-meridie
/BD_152	/R_10	in
/BD_152	/BD_151	a-circio
/BD_152	/R_10	a-orient
/BD_152	/BND_851	a-occident
/BD_152	/BD_153	a-meridie
/BD_153	/R_10	in
/BD_153	/BD_152	a-circio
/BD_153	/R_10	a-orient
/BD_153	/BD_154	a-meridie
/BD_153	/BD_155	a-meridie
/BD_153	/BD_146	a-occident
/BD_153	/BND_851	a-occident
/BD_154	/R_10	in
/BD_154	/BD_153	a-circio
/BD_154	/BD_155	a-orient
/BD_154	/BD_156	a-meridie
/BD_154	/BD_146	a-occident
/BD_155	/R_10	in
/BD_155	/BD_153	a-circio
/BD_155	/R_10	a-orient
/BD_155	/BD_154	a-occident
/BD_155	/BD_156	a-occident
/BD_155	/BD_156	a-meridie
/BD_156	/R_10	in
/BD_156	/BD_155	a-circio
/BD_156	/BD_154	a-circio
/BD_156	/R_10	a-orient
/BD_156	/BD_146	a-occident
/BD_156	/BD_157	a-meridie
/BD_157	/R_10	in
/BD_157	/BD_156	a-circio
/BD_157	/R_10	a-orient
/BD_157	/BD_146	a-occident
/BD_157	/BD_158	a-meridie
/BD_158	/R_9	in
/BD_158	/BD_157	a-circio
/BD_158	/R_9	a-orient
/BD_158	/BD_464	a-occident
/BD_158	/BD_159	a-meridie
/BD_159	/R_9	in compito-sive-cantono
/BD_159	/BD_158	a-circio
/BD_159	/R_9	a-orient
/BD_159	/R_9	a-meridie
/BD_159	/BD_160	a-occident
/BD_16	/R_54	a-occident
/BD_16	/R_54	a-meridie
/BD_16	/BD_15	a-circio
/BD_16	/BD_17	a-orient
/BD_160	/R_9	in
/BD_160	/BD_159	a-orient
/BD_160	/R_9	a-meridie
/BD_160	/BD_158	a-circio
/BD_160	/BD_451	a-occident
/BD_161	/R_9	in compito-sive-cantono
/BD_161	/R_8	in compito-sive-cantono
/BD_131	/L_224	in
/BD_161	/R_8	a-occident
/BD_161	/R_9	a-circio
/BD_161	/BD_162	a-meridie
/BD_161	/BD_163	a-orient
/BD_162	/R_9	in
/BD_162	/R_8	a-occident
/BD_162	/BD_161	a-circio
/BD_162	/BD_163	a-circio
/BD_162	/BND_852	a-meridie
/BD_162	/BD_164	a-orient
/BD_163	/R_9	in
/BD_163	/R_9	a-circio
/BD_163	/BD_162	a-meridie
/BD_163	/BD_161	a-occident
/BD_163	/BD_164	a-orient
/BD_164	/BD_163	a-occident
/BD_164	/BD_162	a-occident
/BD_164	/R_9	a-circio
/BD_164	/RN_00124	a-meridie
/BD_164	/BD_165	a-orient
/BD_165	/R_9	in
/BD_165	/BD_164	a-occident
/BD_165	/RN_00124	a-occident
/BD_165	/R_9	a-circio
/BD_165	/BD_451	a-orient
/BD_165	/BND_852	a-meridie
/BD_166	/R_9	in
/BD_166	/BD_451	a-circio
/BD_166	/BD_168	a-orient
/BD_166	/BD_175	a-meridie
/BD_166	/BD_167	a-occident
/BD_167	/R_9	in compito-sive-cantono
/BD_167	/R_8	in compito-sive-cantono
/BD_167	/R_9	a-circio
/BD_167	/R_8	a-orient
/BD_167	/R_9	a-circio
/BD_167	/R_8	a-orient
/BD_167	/BD_452	a-occident
/BD_167	/BD_168	a-meridie
/BD_168	/BD_167	a-circio
/BD_168	/R_9	a-orient
/BD_168	/BD_166	a-occident
/BD_168	/BD_169	a-meridie
/BD_169	/BD_168	a-circio
/BD_169	/R_9	a-orient
/BD_169	/BD_173	a-occident
/BD_169	/BD_170	a-meridie
/BD_17	/BD_16	a-occident
/BD_17	/R_54	a-meridie
/BD_17	/BND_805	a-occident
/BD_17	/E_154	a-circio
/BD_170	/BD_169	a-circio
/BD_170	/R_9	a-orient
/BD_170	/R_8	a-occident
/BD_170	/BD_172	a-occident
/BD_170	/BD_171	a-meridie
/BD_171	/R_8	in compito-sive-cantono
/BD_171	/R_97	in compito-sive-cantono
/BD_171	/BD_170	a-circio
/BD_171	/R_8	a-meridie
/BD_171	/R_97	a-occident
/BD_171	/BD_172	a-circio
/BD_172	/BD_171	a-meridie
/BD_172	/R_97	a-occident
/BD_172	/R_97	a-circio
/BD_172	/BD_170	a-orient
/BD_173	/R_97	in
/BD_173	/BD_169	a-orient
/BD_173	/BD_168	a-circio
/BD_173	/R_97	a-meridie
/BD_173	/BD_174	a-occident
/BD_174	/BD_173	a-orient
/BD_174	/R_97	a-meridie
/BD_174	/BD_166	a-circio
/BD_174	/BD_175	a-occident
/BD_175	/BD_174	a-orient
/BD_175	/BD_174	a-circio
/BD_175	/R_97	a-meridie
/BD_175	/BD_1144	a-occident
/BD_176	/R_8	in
/BD_176	/R_8	a-occident
/BD_176	/RN_00123	a-meridie
/BD_176	/RN_00123	a-circio
/BD_176	/BD_177	a-orient
/BD_177	/BD_176	a-occident
/BD_177	/RN_00123	a-circio
/BD_177	/RN_00123	a-meridie
/BD_177	/BND_853	a-orient
/BD_178	/R_11	in
/BD_178	/R_11	a-meridie
/BD_178	/BND_854	a-orient
/BD_178	/BND_855	a-circio
/BD_178	/BD_459	a-occident
/BD_179	/BD_460	a-meridie
/BD_179	/BND_855	a-orient
/BD_179	/BD_180	a-occident
/BD_179	/BD_464	a-circio
/BD_18	/R_55	a-circio
/BD_18	/BND_806	a-occident
/BD_18	/BD_40	a-meridie
/BD_18	/R_16	a-meridie
/BD_18	/BD_19	a-orient
/BD_180	/BD_179	a-orient
/BD_180	/BD_461	a-orient
/BD_180	/R_11	a-meridie
/BD_180	/BD_464	a-circio
/BD_180	/BND_856	a-occident
/BD_181	/BD_180	ante
/BD_181	/BD_463	ab-una-part
/BD_181	/R_11	ab-una-part
/BD_181	/BND_857	ab-una-part
/BD_181	/R_11	in
/BD_182	/R_9	in
/BD_182	/R_9	a-occident
/BD_182	/BD_457	a-circio
/BD_182	/BD_57	a-orient
/BD_182	/BD_183	a-meridie
/BD_183	/BD_182	a-circio
/BD_183	/R_9	a-occident
/BD_183	/BD_61	a-orient
/BD_183	/BD_184	a-meridie
/BD_184	/BD_183	a-circio
/BD_184	/R_9	a-occident
/BD_184	/BD_61	a-orient
/BD_184	/BD_185	a-meridie
/BD_185	/BD_184	a-circio
/BD_185	/R_9	a-occident
/BD_185	/BD_62	a-orient
/BD_185	/BD_186	a-meridie
/BD_186	/BD_185	a-circio
/BD_186	/R_9	a-occident
/BD_186	/BD_62	a-orient
/BD_186	/BD_187	a-meridie
/BD_187	/BD_186	a-circio
/BD_187	/R_9	a-occident
/BD_187	/BD_63	a-orient
/BD_187	/BD_65	a-orient
/BD_187	/BD_188	a-meridie
/BD_188	/R_9	a-occident
/BD_188	/BD_187	a-circio
/BD_188	/BD_65	a-orient
/BD_188	/BD_70	a-meridie
/BD_188	/BD_71	in
/BD_188	/BND_858	a-meridie
/BD_19	/BD_18	a-occident
/BD_19	/E_131	a-meridie
/BD_19	/R_55	a-circio
/BD_19	/BD_20	a-orient
/BD_190	/R_8	in
/BD_190	/BND_859	a-orient
/BD_190	/R_8	a-circio
/BD_190	/BD_195	a-meridie
/BD_190	/BD_191	a-occident
/BD_190	/BD_194	a-occident
/BD_191	/BD_190	a-orient
/BD_191	/R_97	a-circio
/BD_191	/BD_194	a-meridie
/BD_191	/BD_192	a-occident
/BD_192	/BD_191	a-orient
/BD_192	/R_97	a-circio
/BD_192	/BD_194	a-meridie
/BD_192	/BD_102	a-occident
/BD_192	/BD_193	a-occident
/BD_193	/R_8	in
/BD_193	/BD_192	a-orient
/BD_193	/BD_102	a-circio
/BD_193	/BD_194	a-meridie
/BD_194	/BD_192	a-circio
/BD_194	/BD_193	a-circio
/BD_194	/BD_191	a-circio
/BD_194	/R_8	a-occident
/BD_194	/BD_190	a-orient
/BD_194	/BD_195	a-meridie
/BD_195	/BD_194	a-circio
/BD_195	/BD_190	a-circio
/BD_195	/R_8	a-occident
/BD_195	/BND_859	a-orient
/BD_195	/BD_196	a-meridie
/BD_196	/R_16	in-capite
/BD_196	/BD_175	a-circio
/BD_196	/R_8	a-occident
/BD_196	/R_16	a-meridie
/BD_196	/E_163	a-orient
/BD_197	/R_16	a-meridie
/BD_197	/E_163	a-occident
/BD_197	/BND_859	a-circio
/BD_197	/BND_860	a-circio
/BD_197	/BD_74	a-orient
/BD_197	/BD_198	a-orient
/BD_198	/BD_197	a-occident
/BD_198	/R_16	a-meridie
/BD_198	/BD_74	a-circio
/BD_198	/BD_199	a-orient
/BD_198	/BD_200	a-orient
/BD_199	/BD_198	a-occident
/BD_199	/BD_74	a-occident
/BD_199	/R_16	a-meridie
/BD_199	/BD_200	a-orient
/BD_2	/R_3	prope
/BD_2	/BD_1	ab-aura-recta
/BD_2	/R_108	a-occident
/BD_135	/L_224	retro
/BD_161	/L_224	ante
/BD_20	/BD_19	a-occident
/BD_20	/E_131	a-meridie
/BD_20	/R_55	a-circio
/BD_20	/BD_21	a-orient
/BD_200	/BD_199	a-occident
/BD_200	/BD_75	a-circio
/BD_200	/BD_77	a-orient
/BD_200	/R_16	a-meridie
/BD_201	/R_8	in
/BD_201	/RN_00122	a-orient
/BD_201	/BD_202	a-orient
/BD_201	/Mur_402	a-occident
/BD_201	/BD_204	a-meridie
/BD_201	/BG_437	a-circio
/BD_201	/BG_437	a-occident
/BD_202	/R_8	in
/BD_202	/BD_201	a-occident
/BD_202	/RN_00122	a-circio
/BD_202	/BD_204	a-meridie
/BD_202	/BD_203	a-orient
/BD_203	/R_16	a-occident
/BD_203	/R_8	a-occident
/BD_203	/RN_00122	a-circio
/BD_203	/R_8	a-orient
/BD_203	/BD_204	a-meridie
/BD_203	/BD_202	a-occident
/BD_204	/R_16	in-capite
/BD_204	/BD_202	a-circio
/BD_204	/BD_203	a-circio
/BD_204	/BD_201	a-circio
/BD_204	/R_16	a-orient
/BD_204	/Mur_402	a-occident
/BD_204	/BD_205	a-meridie
/BD_205	/BD_204	a-circio
/BD_205	/R_16	a-circio
/BD_205	/E_164	a-occident
/BD_206	/E_163	a-occident
/BD_206	/R_16	a-circio
/BD_206	/BND_861	a-meridie
/BD_206	/BD_207	a-orient
/BD_207	/BD_206	a-occident
/BD_207	/R_16	a-circio
/BD_207	/Mur_402	a-meridie
/BD_207	/BD_208	a-orient
/BD_208	/BD_207	a-occident
/BD_208	/R_16	a-circio
/BD_208	/BND_862	a-meridie
/BD_208	/BD_209	a-orient
/BD_208	/BD_210	a-orient
/BD_209	/BD_208	a-occident
/BD_209	/R_16	a-circio
/BD_209	/BD_211	a-orient
/BD_209	/BD_210	a-meridie
/BD_21	/BD_20	a-occident
/BD_21	/E_131	a-meridie
/BD_21	/R_55	a-circio
/BD_21	/BD_22	a-orient
/BD_210	/BD_210	a-circio
/BD_210	/BD_216	a-orient
/BD_210	/BND_863	a-meridie
/BD_210	/BD_208	a-occident
/BD_211	/BD_209	a-occident
/BD_211	/R_16	a-circio
/BD_211	/BD_212	a-orient
/BD_211	/BD_213	a-orient
/BD_211	/BD_214	a-orient
/BD_211	/BD_215	a-meridie
/BD_212	/R_16	in
/BD_212	/BD_211	a-occident
/BD_212	/R_16	a-circio
/BD_212	/R_69	a-orient
/BD_212	/BD_213	a-meridie
/BD_213	/R_69	in
/BD_213	/BD_212	a-circio
/BD_213	/R_80	a-orient
/BD_213	/BD_214	a-orient
/BD_213	/BD_211	a-occident
/BD_213	/BD_214	a-meridie
/BD_213	/BD_215	a-meridie
/BD_214	/R_80	in
/BD_214	/BD_213	a-circio
/BD_214	/R_69	a-orient
/BD_214	/BD_211	a-occident
/BD_214	/BD_215	a-meridie
/BD_215	/BD_214	a-circio
/BD_215	/BD_211	a-circio
/BD_215	/R_69	a-orient
/BD_215	/BD_214	a-orient
/BD_215	/BD_209	a-occident
/BD_215	/BD_216	a-meridie
/BD_216	/BD_215	a-circio
/BD_216	/R_69	a-orient
/BD_216	/BD_210	a-occident
/BD_216	/BND_864	a-meridie
/BD_217	/R_18	in
/BD_217	/R_18	a-orient
/BD_217	/BND_865	a-meridie
/BD_217	/BND_866	a-occident
/BD_217	/BND_867	a-circio
/BD_218	/BG_417	in
/BD_218	/BND_868	juxta
/BD_219	/BG_419	a-circio
/BD_219	/R_99	a-occident
/BD_219	/BD_466	a-meridie
/BD_219	/BD_467	a-meridie
/BD_219	/BD_468	a-meridie
/BD_219	/BD_469	a-meridie
/BD_219	/BD_470	a-meridie
/BD_219	/BD_471	a-meridie
/BD_219	/BD_472	a-meridie
/BD_219	/BD_473	a-meridie
/BD_219	/BD_474	a-meridie
/BD_219	/BD_475	a-meridie
/BD_219	/BD_476	a-meridie
/BD_219	/BD_477	a-meridie
/BD_219	/BD_478	a-meridie
/BD_219	/BD_479	a-meridie
/BD_219	/BD_480	a-meridie
/BD_219	/BD_481	a-meridie
/BD_219	/BD_482	a-meridie
/BD_219	/BD_483	a-meridie
/BD_219	/BD_484	a-meridie
/BD_219	/BD_485	a-meridie
/BD_219	/BD_486	a-meridie
/BD_219	/BD_487	a-meridie
/BD_219	/BD_488	a-meridie
/BD_219	/BD_489	a-meridie
/BD_219	/R_113	a-meridie
/BD_219	/BND_869	a-orient
/BD_22	/BD_21	a-occident
/BD_22	/E_131	a-meridie
/BD_22	/R_55	a-circio
/BD_22	/BD_23	a-orient
/BD_220	/BD_219	a-circio
/BD_220	/R_99	a-occident
/BD_220	/BD_221	versus
/BD_220	/BD_222	a-meridie
/BD_220	/BND_870	a-orient
/BD_221	/BD_220	a-circio
/BD_221	/R_99	a-occident
/BD_221	/BD_222	a-orient
/BD_221	/BND_871	a-orient
/BD_221	/BD_222	a-meridie
/BD_222	/BD_221	a-circio
/BD_222	/R_99	a-occident
/BD_222	/BND_871	a-orient
/BD_222	/Mur_412	a-meridie
/BD_223	/E_160	subtus
/BD_223	/BD_224	a-orient
/BD_223	/R_111	a-meridie
/BD_223	/H_205	a-circio
/BD_223	/BD_224	a-occident
/BD_224	/BD_223	a-orient
/BD_224	/R_111	a-meridie
/BD_224	/H_205	a-circio
/BD_224	/BD_225	a-occident
/BD_225	/BD_224	a-orient
/BD_225	/R_111	a-meridie
/BD_225	/H_205	a-circio
/BD_225	/BD_226	a-occident
/BD_226	/BD_225	a-orient
/BD_226	/E_160	a-meridie
/BD_226	/H_205	a-circio
/BD_226	/BD_227	a-occident
/BD_227	/BD_226	a-orient
/BD_227	/R_114	a-meridie
/BD_227	/Mur_412	a-occident
/BD_227	/H_185	a-occident
/BD_227	/H_185	a-circio
/BD_227	/H_205	a-circio
/BD_228	/R_114	a-circio
/BD_228	/R_110	a-orient
/BD_228	/Mur_412	a-occident
/BD_229	/BD_228	a-circio
/BD_229	/R_110	a-orient
/BD_229	/Mur_412	a-occident
/BD_229	/BD_230	a-meridie
/BD_23	/BD_22	a-occident
/BD_23	/R_55	a-circio
/BD_23	/E_131	a-meridie
/BD_23	/E_156	a-meridie
/BD_23	/BD_24	a-orient
/BD_230	/BD_229	a-circio
/BD_230	/R_110	a-orient
/BD_230	/Mur_412	a-occident
/BD_230	/BD_231	a-meridie
/BD_231	/BD_230	a-circio
/BD_231	/R_110	a-orient
/BD_231	/BD_232	a-meridie
/BD_231	/Mur_412	a-occident
/BD_232	/BD_231	a-circio
/BD_232	/R_110	a-orient
/BD_232	/Mur_412	a-occident
/BD_232	/BD_233	a-meridie
/BD_233	/BD_232	a-circio
/BD_233	/R_110	a-orient
/BD_233	/Mur_412	a-occident
/BD_233	/BD_234	a-meridie
/BD_234	/BD_233	a-circio
/BD_234	/R_110	a-orient
/BD_234	/Mur_412	a-occident
/BD_234	/RN_00133	a-meridie
/BD_235	/BD_234	a-circio
/BD_235	/R_110	a-orient
/BD_235	/BD_236	a-occident
/BD_235	/BD_237	a-occident
/BD_235	/BD_238	a-meridie
/BD_236	/BD_235	a-orient
/BD_236	/RN_00121	a-circio
/BD_236	/BD_237	a-occident
/BD_236	/BD_237	a-meridie
/BD_237	/Mur_412	a-occident
/BD_237	/RN_00121	a-circio
/BD_237	/BD_237	a-circio
/BD_237	/BD_239	a-meridie
/BD_237	/BD_238	a-orient
/BD_237	/BD_235	a-orient
/BD_237	/BD_236	a-orient
/BD_238	/R_110	a-orient
/BD_238	/BD_239	a-meridie
/BD_238	/BD_237	a-circio
/BD_238	/BD_235	a-occident
/BD_239	/E_158	prope
/BD_239	/BD_238	a-circio
/BD_239	/BD_237	a-circio
/BD_239	/R_110	a-orient
/BD_239	/Mur_412	a-occident
/BD_239	/BD_240	a-meridie
/BD_239	/BND_872	a-meridie
/BD_24	/BD_23	a-occident
/BD_24	/R_55	a-circio
/BD_24	/E_156	a-meridie
/BD_24	/BD_25	a-orient
/BD_240	/E_158	ante
/BD_240	/RN_00134	a-orient
/BD_240	/BD_239	a-circio
/BD_240	/BND_872	a-occident
/BD_240	/BND_873	a-meridie
/BD_241	/E_158	prope
/BD_241	/E_160	prope
/BD_241	/BD_242	a-occident
/BD_241	/BD_244	a-circio
/BD_241	/BGN_0051	a-circio
/BD_241	/BG_419	a-circio
/BD_241	/BND_874	a-orient
/BD_241	/BND_875	a-orient
/BD_241	/BND_876	a-meridie
/BD_241	/BND_877	a-meridie
/BD_242	/BD_241	a-orient
/BD_242	/RN_00135	a-orient
/BD_242	/BD_243	a-occident
/BD_242	/BD_244	a-circio
/BD_243	/BD_242	a-orient
/BD_243	/BD_244	a-orient
/BD_243	/BD_248	a-circio
/BD_243	/BD_250	a-circio
/BD_243	/BD_256	a-occident
/BD_244	/R_111	a-circio
/BD_244	/BD_245	a-circio
/BD_244	/BD_246	a-circio
/BD_244	/RN_00136	a-orient
/BD_244	/BD_242	a-meridie
/BD_244	/BD_241	a-meridie
/BD_244	/BD_248	a-occident
/BD_244	/BD_243	a-occident
/BD_245	/R_111	a-circio
/BD_245	/BD_244	a-meridie
/BD_245	/BD_244	a-orient
/BD_245	/BD_246	a-occident
/BD_246	/R_111	a-circio
/BD_246	/BD_245	a-orient
/BD_246	/BD_244	a-meridie
/BD_246	/BD_247	a-occident
/BD_247	/BD_246	a-orient
/BD_247	/R_111	a-circio
/BD_247	/BD_491	a-meridie
/BD_247	/BD_248	a-occident
/BD_248	/R_111	a-circio
/BD_248	/BD_247	a-orient
/BD_248	/BD_244	a-orient
/BD_248	/BD_243	a-meridie
/BD_248	/BD_249	a-occident
